Depots,Name,Mobile_Number,E_mail,Coordinates
Depot 3,Shanthinagar,7.76E+09,dm2@mybmtc.com,"12.95533, 77.59399"
Depot 4,Jayanagar,7.76E+09,dm4@mybmtc.com,"12.92472, 77.59255"
Depot 6,Indranagar,7.76E+09,dm6@mybmtc.com,"12.98243, 77.63503"
Depot 8,Yeshwanthpura,7.76E+09,dm8@mybmtc.com,"13.01776, 77.55567"
Depot 9,Peenya,7.76E+09,dm9@mybmtc.com,"13.01985, 77.50041"
Depot 10,Hennur,7.76E+09,dm10@mybmtc.com,"13.02609, 77.6319"
Depot 11,Yelahanka,7.76E+09,dm11@mybmtc.com,"13.10999, 77.57905"
Depot 12,Kengeri,7.76E+09,dm12@mybmtc.com,"12.91343, 77.48755"
Depot 13,Katriguppe,7.76E+09,dm13@mybmtc.com,"12.92437, 77.55408"
Depot 14,R.T.Nagar,7.76E+09,dm14@mybmtc.com,"13.02884, 77.593"
Depot 15,Kormangala,7.76E+09,dm15@mybmtc.com,"12.94109, 77.62417"
Depot 16,Deepanjalinagar,7.76E+09,dm16@mybmtc.com,"12.95113, 77.53744"
Depot 17,Chandra layout,7.76E+09,dm17@mybmtc.com,"12.95924, 77.52677"
Depot 18,ITPL,7.76E+09,dm18@mybmtc.com,"12.97964, 77.72437"
Depot 19,Electronic city,7.76E+09,dm19@mybmtc.com,"12.84717, 77.6724"
Depot 20,Bhanshankari,7.76E+09,dm20@mybmtc.com,"12.92352, 77.55383"
Depot 21,Rajarajeshwari nagar,7.76E+09,dm21@mybmtc.com,"12.90627, 77.51956"
Depot 22,Peenya,7.76E+09,dm22@mybmtc.com,"13.01893, 77.50088"
Depot 23,Kalyannagar,7.76E+09,dm23@mybmtc.com,"13.02662, 77.63821"
Depot 24,K.R.Puram,7.76E+09,dm24@mybmtc.com,"13.00211, 77.68381"
Depot 25,H.S.R.Layout,7.76E+09,dm25@mybmtc.com,"12.91925, 77.64247"
Depot 26,Yeshwanthpura,7.76E+09,dm26@mybmtc.com,"13.01776, 77.55567"
Depot 27,Jigani,7.76E+09,dm27@mybmtc.com,"12.78066, 77.63461"
Depot 28,Hebbal,7.76E+09,dm28@mybmtc.com,"13.04374, 77.5939"
Depot 29,K.R.Puram,7.76E+09,dm29@mybmtc.com,"13.00472, 77.69149"
Depot 30,Yelahanka,7.76E+09,dm30@mybmtc.com,"13.10988, 77.57774"
Depot 31,SUMANAHALLI,7.76E+09,dm31@mybmtc.com,"12.9928, 77.52162"
Depot 32,Surya city,7.76E+09,dm32@mybmtc.com,"12.79261, 77.70396"
Depot 33,poornapragna layout,7.76E+09,dm33@mybmtc.com,"12.90968, 77.53657"
Depot 34,kothanur dinne,7.76E+09,dm34@mybmtc.com,"12.87151, 77.58618"
Depot 36,Bidadi,7.76E+09,dm36@mybmtc.com,"12.76933, 77.41319"
Depot 37,Kengeri,7.76E+09,dm37@mybmtc.com,"12.90387, 77.47379"
Depot 38,Chikkanagamangala,7.76E+09,dm38@mybmtc.com,"12.85, 77.69119"
Depot 39,Hoskote,7.76E+09,dm39@mybmtc.com,"13.06814, 77.78167"
Depot 40,Nelamangala,7.76E+09,dm40@mybmtc.com,"13.07409, 77.44504"
Depot 41,Gunjur,7.76E+09,dm41@mybmtc.com,"12.92165, 77.74361"
Depot 43,Shivanpura,7.76E+09,dm43@mybmtc.com,"13.0679, 77.42657"
Depot 44,Anjanapura,7.76E+09,dm44@mybmtc.com,
Depot 45,M.S.Palya,7.76E+09,dm45@mybmtc.com,"13.08455, 77.5502"
Depot 46,sadenahalli,7.76E+09,dm46@mybmtc.com,"12.85516, 77.56982"
Depot 47,Mandur,7.76E+09,dm47@mybmtc.com,
Depot 48,Byrathi,7.76E+09,dm48@mybmtc.com,
