Annexure D : List of susbtations and Available Capacity in MW terms,,
S.No,Name of Substation,"Available Capacity as on datein MW terms"
1,400/220 KV SS Shankarapally,450
2,400/220 KV SS Veltoor,355
3,400/220 KV SS Dichipally,143
"",400 kV Total:,948
4,220/132 KV SS Shadnagar,204
5,220/132 KV SS Wanaparthy,171
6,220/132 KV SS Siddipet,95
7,220/132 KV SS Sadasivapet,114
8,220/132 KV SS Minpur,165
9,220/132 KV SS Yeddumailaram,200
10,220/132 KV SS Miryalguda,200
11,220/132 KV SS KM Pally,158
12,220/132 KV SS Bhonigir,113
13,220/132 KV SS Waddekothapally,143
14,220/132 KV SS Jagityal,95
15,220/132 KV SS Nirmal,134
16,220/132 KV SS Mandamarri,48
17,220/132 KV SS Bhimgal,134
18,220/132 KV SS Kamareddy,134
19,220/132 KV SS Miyapur,86
20,220/132 KV SS Fab City,71
21,220/132 KV SS Shapur Nagar,209
22,220/132 KV SS Shamshabad,111
23,220/132 KV SS Medchal,254
"",220 kV Total:,2837
"",,
S.No,Name of the Substation,"Available Capacity as on datein MW terms"
Ranga Reddy District,,
1,132/33 KV SS Takkalapally,8
2,33 KV Mall,8
3,33/11 KV SS Mall,
4,33/11 KV SS Nallavelly,
5,33KV Medipallly,8
6,33/11 KV SS Medipallly,
7,33/11 KV SS Bodakonda,
8,132/33 KV SS Turkayanjal,32
9,33 KV Peddamberpet,15
10,33/11 KV SS Hayathnagar Amangal,
11,33/11 KV SS Peddamberpet,
12,33 KV Mangalpally,15
13,33/11 KV SS Mangalpally,
14,132/33 KV SS Dharmsgar,28
15,Aloor,15
16,33/11 KV SS Aloor,
17,33/11 KV SS Devuneravelly,
18,33/11 KV SS chenvelly,
19,33/11 KV SS Kowkuntla,
20,Chevella,15
21,33/11 KV SS Chevella,
22,Moinabad,15
23,33/11 KV SS Moinabad,
24,33/11 KV SS kethi reddypally,
25,33/11 KV SS Reddy pally,
26,Parveda,15
27,33/11 KV SS Parveda,
28,Shabad,15
29,33/11 KV SS Shabad,
30,33/11 KV SS Chndhanvally,
31,33/11 KV SS Tallapally,
32,33/11 KV SS Bobilgaon,
33,33/11 KV SS Antharam,
34,132/33 KV SS Tandur,42
35,Basheerabad,15
36,33/11 KV SS Basheerabad,
37,33/11 KV SS Yalal,
38,33/11 KV SS Laxminarayanpur,
39,33/11 KV SS Dowlapur,
40,33/11 KV SS Navalga,
41,Bomrajpet,15
42,33/11 KV SS Nagaram,
43,33/11 KV SS Bomrajpet(Mahabubnagar dist),
44,33/11 KV SS Bagaipally,
45,Gowthapur,15
46,33/11 KV SS Gowthapur,
47,Karankote,15
48,33/11 KV SS Karankote,
49,33/11 KV SS Kotbaspally,
50,Peddamul,8
51,33/11 KV SS Peddamul,
52,33/11 KV SS Kotepally,
53,33/11 KV SS Barwada,
54,33/11 KV SS Nagasamundar,
55,Tandur,15
56,33/11 KV SS Tandur,
57,33/11 KV SS Old Tandur,
58,Turmamidi,15
59,33/11 KV SS Turmamidi,
60,33/11 KV SS Indoor,
61,33/11 KV SS Bantaram,
62,33/11 KV SS Tattepally,
63,Vikarabad,15
64,33/11 KV SS Vikarabad,
65,33/11 KV SS Dharur,
66,33/11 KV SS Mambapur,
67,132/33 KV SS Medchal,57
68,Aliabad,15
69,33/11 KV SS ICICI,
70,33/11 KV SS Turkapally,
71,33/11 KV SS Aliabad,
72,33/11 KV SS Medicity,
73,Athivelly.,15
74,33/11 KV SS Athiwelly,
75,33/11 KV SS Yellempet,
76,B.Madaram.,15
77,33/11 KV SS Bandamadaram,
78,33/11 KV SS Nuthalkal,
79,33/11 KV SS Gowdawelly,
80,Deveryamjal,15
81,33/11 KV SS Deveryamjal,
82,GP Pally,15
83,33/11 KV SS GP Pally,
84,33/11 KV SS Dulapally,
85,Kandlakoya,15
86,33/11 KV SS Kandlakoya,
87,Keshavaram,15
88,33/11 KV SS Keshavaram,
89,33/11 KV SS Laxmapur,
90,33/11 KV SS Kolthur,
91,33/11 KV SS Uddamarry,
92,Medchal,10
93,33/11 KV SS Medchal,
94,33/11 KV SS Kistapur,
95,33/11 KV SS Ravalkole,
Ranga Reddy District Total:,167,
"",,
MEDAK DISTRICT,,
96,132/33 KV SS Medak,48
97,B Bhoopathipur,15
98,33/11 KV SS Thogita,
99,33/11 KV SS Sardhana,
100,33/11 KV SS B.B.Pur,
101,33/11 KV SS Wadi,
102,Medak Town,15
103,33/11 KV SS Medak,
104,NSF,13
105,33/11 KV SS Pillikotyal,
106,33/11 KV SS NSF,
107,33/11 KV SS Rajpally,
108,Ramayampet,15
109,33/11 KV SS Nagapur,
110,33/11 KV SS Pathur,
111,33/11 KV SS M.B.Pur,
112,Shankarampet,15
113,33/11 KV SS Shalipet,
114,33/11 KV SS Gavvalapally,
115,33/11 KV SS Ch.Shankarampet,
116,132/33 KV SS Tunki Bollaram,16
117,Tunki Bollaram,15
118,33/11 KV SSThunkikalsa,
119,33/11 KV SSThunki bollaram,
120,33/11 KV SS Kokkonda,
121,132/33 KV SS Kandi,33
122,BDL,15
123,33/11 KV SS Nandigama,
124,Bharath Strips,15
125,33/11 KV SS Cheryal,
126,HFC,15
127,33/11 KV SS Turakalakhanapur,
128,33/11 KV SS Gundlamachunur,
129,Isnapur,15
130,33/11 KV SS Rudraram,
131,Sangareddy I,15
132,33/11 KV SS Sangareddy No.I,
133,33/11 KV SS Sangareddy No.II,
134,33/11 KV SS Fasalwadi,
135,Sangareddy II,15
136,33/11 KV SS Collector Complex,
137,33/11 KV SS IK Pet,
138,33/11 KV SS Malkapur,
139,33/11 KV SS Gollapally,
140,132/33 KV SS Gummadidala,39
141,Bonthapally,15
142,33/11 KV SS Bonthapally,
143,33/11 KV SS Solkpally,
144,33/11 KV SS Jinnaram,
145,DundigaI,15
146,33/11 KV SS DundigaI,
147,Gummadidala,15
148,33/11 KV SS Gummadidala,
149,33/11 KV SS Kanukunta,
