,Longitude,Latitude,Station Name,Line,Status,Date opened,Layout
0,77.55867,12.886529,Anjanapura Cr Rd,,Proposed,,
1,77.621241,13.030774,Arabic College,,,,
2,77.533693,12.961924,Attiguppe,Purple Line,Existing,16-Nov-15,Elevated
3,77.652451,12.990759,Baiyappanahalli,Purple Line,Existing,20-Oct-11,At Grade
4,77.573653,12.915748,Banashankari,Green Line,Existing,18-Jun-17,Elevated
5,77.602615,12.991856,Bangalore Cant.,,,,
6,77.565933,12.975819,Bangalore City Railway Station,Purple Line,Existing,29-Apr-16,Underground
7,77.506742,12.931204,Bangalore University,,,,
8,77.646239,12.878768,Basapur Rd,,,,
9,77.690291,12.817356,Bommasandra,,,,
10,77.608441,12.916575,BTM Layout,,,,
11,77.574538,12.96653,Chickpete,Green Line,Existing,18-Jun-17,Underground
12,77.5964998,12.9815375,Cubbon Park,Purple Line,Existing,29-Apr-16,Underground
13,77.602122,12.939339,Dairy Circle,,,,
14,77.512279,13.043474,Dasarahalli,Green Line,Existing,01-May-15,Elevated
15,77.536998,12.952221,Deepanjali Nagar,Purple Line,Existing,16-Nov-15,Elevated
16,77.707136,12.988103,Doddanekundi,,,,
17,77.591715,12.978799,"Dr. B. R. Ambedkar Station, Vidhana Soudha",Purple Line,Existing,29-Apr-16,Underground
18,77.67379,12.84398,Electronic City,,,,
19,77.664328,12.856009,Electronic City I,,,,
20,77.47344,13.057155,Exhibition Center,,,,
21,77.70543,12.992996,Garudachar Palya,,,,
22,77.588732,12.855318,Gottigere,,,,
23,77.626648,12.976446,Halasuru,Purple Line,Existing,20-Oct-11,Elevated
24,77.683028,12.82582,Hebbagodi,,,,
25,77.653406,12.869711,Hosa Rd,,,,
26,77.5454523,12.9741772,Hosahalli,Purple Line,Existing,16-Nov-15,Elevated
27,77.628837,12.907111,HSR Layout,,,,
28,77.594504,12.873853,Hulimavu,,,,
29,77.679198,12.836134,Huskur Rd,,,,
30,77.599783,12.89613,IIM,,,,
31,77.638643,12.978286,Indiranagar,Purple Line,Existing,20-Oct-11,Elevated
32,77.737005,12.987507,ITPL,,,,
33,77.519794,13.039471,Jalahalli,Green Line,Existing,01-May-15,Elevated
34,77.598978,12.916742,Jayadeva Hospital,,,,
35,77.580181,12.929588,Jayanagar,Green Line,Existing,18-Jun-17,Elevated
36,77.573127,12.90744,Jayaprakash Nagar,Green Line,Existing,18-Jun-17,Elevated
37,77.484384,13.053643,Jindal,,,,
