Longitude,Latitude,Station Name
77.55867,12.886529,Anjanapura Cr Rd
77.621241,13.030774,Arabic College
77.533693,12.961924,Attiguppe
77.652451,12.990759,Baiyappanahalli
77.573653,12.915748,Banashankari
77.602615,12.991856,Bangalore Cant.
77.565933,12.975819,Bangalore City Railway Station
77.506742,12.931204,Bangalore University
77.646239,12.878768,Basapur Rd
77.690291,12.817356,Bommasandra
77.608441,12.916575,BTM Layout
77.574538,12.96653,Chickpete
77.5964998,12.9815375,Cubbon Park
77.602122,12.939339,Dairy Circle
77.512279,13.043474,Dasarahalli
77.536998,12.952221,Deepanjali Nagar
77.707136,12.988103,Doddanekundi
77.591715,12.978799,"Dr. B. R. Ambedkar Station, Vidhana Soudha"
77.67379,12.84398,Electronic City
77.664328,12.856009,Electronic City I
77.47344,13.057155,Exhibition Center
77.70543,12.992996,Garudachar Palya
77.588732,12.855318,Gottigere
77.626648,12.976446,Halasuru
77.683028,12.82582,Hebbagodi
77.653406,12.869711,Hosa Rd
77.5454523,12.9741772,Hosahalli
77.628837,12.907111,HSR Layout
77.594504,12.873853,Hulimavu
77.679198,12.836134,Huskur Rd
77.599783,12.89613,IIM
77.638643,12.978286,Indiranagar
77.737005,12.987507,ITPL
77.519794,13.039471,Jalahalli
77.598978,12.916742,Jayadeva Hospital
77.580181,12.929588,Jayanagar
77.573127,12.90744,Jayaprakash Nagar
77.484384,13.053643,Jindal
77.600459,12.908031,JP Nagar
77.666441,12.99563,Jyothipuram
77.747744,12.985343,Kadugodi
77.484469,12.910928,Kengeri
77.675947,12.999843,KR Puram
77.547169,12.883015,Krishna Leela Park
77.574881,12.960999,Krishna Rajendra Market
77.7178,12.977293,Kundalahalli
77.556878,12.998453,Kuvempu Rd
77.580058,12.94635,Lalbagh
77.604815,12.95725,Langford Town
77.555323,12.975652,Magadi Road
77.548816,13.008284,Mahalakshmi
77.606767,12.975505,Mahatma Gandhi Road
77.572843,12.975599,Majestic
77.491271,13.051198,Manjunathnagar
77.602948,12.944337,MICO Industries
77.639394,12.890022,Munishwara Nagar
77.529992,12.946617,Mysore Road
77.500096,13.04801,Nagasandra
77.626004,13.043421,Nagavara
77.689819,12.997533,Narayanpura
77.573723,12.950569,National College
77.523501,12.939674,Nayandahalli
77.529531,12.861218,NICE Junction
77.632484,12.901254,Oxford Engg College
77.533307,13.033011,Peenya
77.525631,13.036366,Peenya Industry
77.608591,12.998965,Pottery Town
77.592047,12.916888,Ragi Gudda Temple
77.518426,12.936485,Raja Rajeswari Nagar
77.549744,13.000345,Rajajinagar
77.580256,12.921432,Rashtreeya Vidyalaya Road
77.49773,12.923842,RV College
77.570869,12.990319,Sampige Road
77.553982,13.014891,Sandal Soap Factory
77.727917,12.982479,Sathya Sai Hospital
77.603914,12.984068,Shivaji Nagar
77.621691,12.916951,Silk Board
77.584205,12.974423,Sir M. Visveshwarya
77.580101,12.938356,South End Circle
77.563251,12.996477,Srirampura
77.600534,12.928318,Swagath Rd Cross
77.644973,12.985918,Swami Vivekananda Road
77.536815,12.869418,Talaghattapura
77.61225,13.005509,Tannery Rd
77.617013,12.973027,Trinity
77.753377,12.98618,Ujvala Vidyalaya
77.540817,12.874062,Vajarahalli
77.617528,13.015346,Vankateshpura
77.606488,12.966336,Vellara
77.537341,12.970706,Vijayanagar
77.709271,12.979029,Vishveshwaraiah Industrial
77.726952,12.976457,Vydehi Hospital
77.757883,12.995066,Whitefield
77.570161,12.896035,Yelachenahalli
77.549803,13.023306,Yeshwantpur
77.540817,13.028412,Yeshwantpur Indsutry
